TF,target,importance
ANGPT2,MCPH1,143.28705947236398
CD8B,CD8A,132.5438406704954
CD8A,CD8B,117.679877905361
GNLY,PRF1,115.96557959596288
CSRP1,GAD1,115.9208418778133
B2M,HLA-B,103.7734283112457
ACE,FOXI1,102.82999841808228
BCL2,CDK6,91.38550050379854
PRF1,GNLY,85.75624923197725
B2M,HLA-C,84.14087438503338
B2M,HLA-A,83.55863004027754
LYZ,S100A9,81.89801221136078
FOSB,JUN,81.52524021713275
CSF3R,VCAN,77.33203029245442
RPL3,RPLP0,76.86339069123977
GNLY,CCL5,76.53666264120437
MCPH1,ANGPT2,75.74557919627681
HLA-B,B2M,75.07426733907188
RPL3,RPS3A,73.40409559597255
HLA-DRA,HLA-DQA1,72.0948277005971
GINS3,CRHR1,70.29462432428305
PAX5,MS4A1,70.08215743182178
GRHL1,CRHR1,69.7468458823699
IFITM3,CDKN1C,68.5304804239729
CD74,HLA-DPA1,67.92370848928326
