TF,target,importance
CD8B,CD8A,159.25992265852793
ANGPT2,MCPH1,149.60233416820384
CD8A,CD8B,147.71642580917086
LTC4S,PLIN1,138.94914193626298
RS1,BMP4,133.9239139054066
POLD1,BMP4,110.99002153746464
RORA,RORA-AS1,101.84988992120704
S100A9,S100A8,99.50534963249896
MCPH1,ANGPT2,99.14467172248096
PHLDA1,PLIN1,95.78860196555878
RPS3A,EEF1A1,94.40826217271854
B2M,HLA-B,92.76304567089376
ITGB3,SNCB,92.06856344641778
GNLY,PRF1,91.94260640215752
PRF1,GNLY,89.55218461821303
RPL3,RPLP0,85.48632933896722
FOSB,JUN,85.08623106334319
CCL5,GZMA,82.7436060660914
RPL3,RPS3A,80.7299812637248
MS4A1,PAX5,80.14463170745728
RPL3,EEF1A1,78.12698686930986
BCL2,CDK6,78.00351020026325
PAX5,MS4A1,77.89388246620477
RPS3A,RPS8,77.61104773274073
PIK3R3,PLIN1,76.9885293608827
