TF,target,importance
ANGPT2,MCPH1,239.5066708959639
MCPH1,ANGPT2,211.75452645000405
MECOM,TBX4,203.16617627092904
CD8B,CD8A,203.0578327534046
CD8A,CD8B,194.64248876944387
FOSB,JUN,151.6008957479847
WFS1,TBX4,149.03025007767818
PTPN13,TBX4,137.58934999426725
B2M,HLA-B,135.35361267910582
LEF1,PRKCA,126.84646074404873
BCL2,CDK6,123.13980281325824
PRF1,GNLY,112.33832821767987
B2M,HLA-A,112.13520666287154
HLA-B,HLA-A,110.24338271341234
GNLY,PRF1,108.17698725590814
LEF1,CCR7,106.73920843158938
S100A4,S100A6,106.34693446979615
CD8A,KLRK1,104.66915726939554
HLA-DRA,HLA-DQA1,103.64867448004247
SCG3,TBX4,101.4874663331512
CCL5,A2M,100.03018355693423
LYZ,S100A9,99.81291114808565
CD74,HLA-DPB1,99.10987424661523
ZEB2,LTB,98.04907870391844
CD74,HLA-DPA1,97.57429402106357
